"Step","4l4h32-agtt-shortest-path (path) - train/loss","4l4h32-agtt-shortest-path (path) - train/loss__MIN","4l4h32-agtt-shortest-path (path) - train/loss__MAX","4l4h32-agtt-shortest-path (path) - val/loss","4l4h32-agtt-shortest-path (path) - val/loss__MIN","4l4h32-agtt-shortest-path (path) - val/loss__MAX","5l64-mpnn-shortest-path (er+sbm+path) - train/loss","5l64-mpnn-shortest-path (er+sbm+path) - train/loss__MIN","5l64-mpnn-shortest-path (er+sbm+path) - train/loss__MAX","5l64-mpnn-shortest-path (er+sbm+path) - val/loss","5l64-mpnn-shortest-path (er+sbm+path) - val/loss__MIN","5l64-mpnn-shortest-path (er+sbm+path) - val/loss__MAX","4l4h32-gps-shortest-path (er+sbm+path) - train/loss","4l4h32-gps-shortest-path (er+sbm+path) - train/loss__MIN","4l4h32-gps-shortest-path (er+sbm+path) - train/loss__MAX","4l4h32-gps-shortest-path (er+sbm+path) - val/loss","4l4h32-gps-shortest-path (er+sbm+path) - val/loss__MIN","4l4h32-gps-shortest-path (er+sbm+path) - val/loss__MAX","2l4h16-ibtt-shortest-path (path) - train/loss","2l4h16-ibtt-shortest-path (path) - train/loss__MIN","2l4h16-ibtt-shortest-path (path) - train/loss__MAX","2l4h16-ibtt-shortest-path (path) - val/loss","2l4h16-ibtt-shortest-path (path) - val/loss__MIN","2l4h16-ibtt-shortest-path (path) - val/loss__MAX"
"36","2.2584001421928406","2.2584001421928406","2.2584001421928406","2.266119956970215","2.266119956970215","2.266119956970215","0.6795128534237543","0.6795128534237543","0.6795128534237543","0.632501021027565","0.632501021027565","0.632501021027565","0.5881990020473798","0.5881990020473798","0.5881990020473798","0.7112324101229509","0.7112324101229509","0.7112324101229509","1.5198256492614746","1.5198256492614746","1.5198256492614746","1.6486314993638258","1.6486314993638258","1.6486314993638258"
"37","2.228756695985794","2.228756695985794","2.228756695985794","2.2431319653987885","2.2431319653987885","2.2431319653987885","0.6516362478335699","0.6516362478335699","0.6516362478335699","0.6356401108205318","0.6356401108205318","0.6356401108205318","0.5844514705240726","0.5844514705240726","0.5844514705240726","0.7521051868873959","0.7521051868873959","0.7521051868873959","1.501404595375061","1.501404595375061","1.501404595375061","1.6340264357053316","1.6340264357053316","1.6340264357053316"
"38","2.2068567872047424","2.2068567872047424","2.2068567872047424","2.2238247096538544","2.2238247096538544","2.2238247096538544","0.6227974680562814","0.6227974680562814","0.6227974680562814","0.6046059232515594","0.6046059232515594","0.6046059232515594","0.5853340700268745","0.5853340700268745","0.5853340700268745","0.6561147607862949","0.6561147607862949","0.6561147607862949","1.488355008761088","1.488355008761088","1.488355008761088","1.6218241636569684","1.6218241636569684","1.6218241636569684"
"39","2.1631757020950317","2.1631757020950317","2.1631757020950317","2.1791498363018036","2.1791498363018036","2.1791498363018036","0.6207320876419544","0.6207320876419544","0.6207320876419544","0.6125369919463992","0.6125369919463992","0.6125369919463992","0.5563325931628545","0.5563325931628545","0.5563325931628545","0.6444247349475821","0.6444247349475821","0.6444247349475821","1.4880421797434489","1.4880421797434489","1.4880421797434489","1.5985598930945764","1.5985598930945764","1.5985598930945764"
"40","2.1447325944900513","2.1447325944900513","2.1447325944900513","2.1218772530555725","2.1218772530555725","2.1218772530555725","0.6343195935090383","0.6343195935090383","0.6343195935090383","0.6236181023220221","0.6236181023220221","0.6236181023220221","0.5536235434313616","0.5536235434313616","0.5536235434313616","0.6780125045528015","0.6780125045528015","0.6780125045528015","1.4559478680292766","1.4559478680292766","1.4559478680292766","1.589036648090069","1.589036648090069","1.589036648090069"
"41","2.0790772438049316","2.0790772438049316","2.0790772438049316","2.0213999450206757","2.0213999450206757","2.0213999450206757","0.6655509161452452","0.6655509161452452","0.6655509161452452","0.5953713335717717","0.5953713335717717","0.5953713335717717","0.5520453229546547","0.5520453229546547","0.5520453229546547","0.6364044729464998","0.6364044729464998","0.6364044729464998","1.4325762192408245","1.4325762192408245","1.4325762192408245","1.5640361125652606","1.5640361125652606","1.5640361125652606"
"42","1.9890889078378677","1.9890889078378677","1.9890889078378677","1.93990258872509","1.93990258872509","1.93990258872509","0.6178002953529358","0.6178002953529358","0.6178002953529358","0.6033629284550747","0.6033629284550747","0.6033629284550747","0.5367818735539913","0.5367818735539913","0.5367818735539913","0.6281018016549448","0.6281018016549448","0.6281018016549448","1.416919755935669","1.416919755935669","1.416919755935669","1.5483958537761981","1.5483958537761981","1.5483958537761981"
"43","1.9407208114862442","1.9407208114862442","1.9407208114862442","1.8372201919555664","1.8372201919555664","1.8372201919555664","0.6106606982648373","0.6106606982648373","0.6106606982648373","0.6092295348644257","0.6092295348644257","0.6092295348644257","0.5430640677611033","0.5430640677611033","0.5430640677611033","0.6368780039871732","0.6368780039871732","0.6368780039871732","1.40513383547465","1.40513383547465","1.40513383547465","1.5361276039710412","1.5361276039710412","1.5361276039710412"
"44","1.8457928448915482","1.8457928448915482","1.8457928448915482","1.7719165235757828","1.7719165235757828","1.7719165235757828","0.618492684016625","0.618492684016625","0.618492684016625","0.5731550088773171","0.5731550088773171","0.5731550088773171","0.5304135158658028","0.5304135158658028","0.5304135158658028","0.6331301777002712","0.6331301777002712","0.6331301777002712","1.3973015308380128","1.3973015308380128","1.3973015308380128","1.5263603558907142","1.5263603558907142","1.5263603558907142"
"45","1.7721150666475296","1.7721150666475296","1.7721150666475296","1.7067911177873611","1.7067911177873611","1.7067911177873611","0.6039944080015024","0.6039944080015024","0.6039944080015024","0.5858088110884031","0.5858088110884031","0.5858088110884031","0.5308848458031813","0.5308848458031813","0.5308848458031813","0.6139079797236869","0.6139079797236869","0.6139079797236869","1.3842414617538452","1.3842414617538452","1.3842414617538452","1.502470117348891","1.502470117348891","1.502470117348891"
"46","1.7322941571474075","1.7322941571474075","1.7322941571474075","1.6504506915807724","1.6504506915807724","1.6504506915807724","0.5922462219993273","0.5922462219993273","0.5922462219993273","0.5850898030524453","0.5850898030524453","0.5850898030524453","0.5167489275336266","0.5167489275336266","0.5167489275336266","0.6370177570109566","0.6370177570109566","0.6370177570109566","1.3691013256708782","1.3691013256708782","1.3691013256708782","1.4689316291075487","1.4689316291075487","1.4689316291075487"
"47","1.6211804747581482","1.6211804747581482","1.6211804747581482","1.6228793561458588","1.6228793561458588","1.6228793561458588","0.6295572059849898","0.6295572059849898","0.6295572059849898","0.5915772269169489","0.5915772269169489","0.5915772269169489","0.5098056395848592","0.5098056395848592","0.5098056395848592","0.6762159027469655","0.6762159027469655","0.6762159027469655","1.3602313200632732","1.3602313200632732","1.3602313200632732","1.456823073900663","1.456823073900663","1.456823073900663"
"48","1.6211877763271332","1.6211877763271332","1.6211877763271332","1.5773418098688126","1.5773418098688126","1.5773418098688126","0.6034299048284689","0.6034299048284689","0.6034299048284689","0.6024517438684901","0.6024517438684901","0.6024517438684901","0.5250581031044325","0.5250581031044325","0.5250581031044325","0.6174542219378054","0.6174542219378054","0.6174542219378054","1.3359522422154744","1.3359522422154744","1.3359522422154744","1.4489815601935754","1.4489815601935754","1.4489815601935754"
"49","1.5625057220458984","1.5625057220458984","1.5625057220458984","1.5378392040729523","1.5378392040729523","1.5378392040729523","0.5763850621879101","0.5763850621879101","0.5763850621879101","0.5838939721385638","0.5838939721385638","0.5838939721385638","0.5254812439282736","0.5254812439282736","0.5254812439282736","0.6084501603618264","0.6084501603618264","0.6084501603618264","1.3310632864634195","1.3310632864634195","1.3310632864634195","1.4189099715306208","1.4189099715306208","1.4189099715306208"
"50","1.542072206735611","1.542072206735611","1.542072206735611","1.4962399303913116","1.4962399303913116","1.4962399303913116","0.569923580934604","0.569923580934604","0.569923580934604","0.5670673235629996","0.5670673235629996","0.5670673235629996","0.5181947487095991","0.5181947487095991","0.5181947487095991","0.6377128767004857","0.6377128767004857","0.6377128767004857","1.3011266867319742","1.3011266867319742","1.3011266867319742","1.4038529854554396","1.4038529854554396","1.4038529854554396"
"51","1.5032654404640198","1.5032654404640198","1.5032654404640198","1.4701723009347916","1.4701723009347916","1.4701723009347916","0.5681973174214363","0.5681973174214363","0.5681973174214363","0.5721663665026426","0.5721663665026426","0.5721663665026426","0.5088321355481943","0.5088321355481943","0.5088321355481943","0.6613239951742192","0.6613239951742192","0.6613239951742192","1.2876209497451783","1.2876209497451783","1.2876209497451783","1.394590817964994","1.394590817964994","1.394590817964994"
