"Step","4l4h32-agtt-shortest-path (path) - train/f1","4l4h32-agtt-shortest-path (path) - train/f1__MIN","4l4h32-agtt-shortest-path (path) - train/f1__MAX","4l4h32-agtt-shortest-path (path) - val/f1","4l4h32-agtt-shortest-path (path) - val/f1__MIN","4l4h32-agtt-shortest-path (path) - val/f1__MAX","5l64-mpnn-shortest-path (er+sbm+path) - train/f1","5l64-mpnn-shortest-path (er+sbm+path) - train/f1__MIN","5l64-mpnn-shortest-path (er+sbm+path) - train/f1__MAX","5l64-mpnn-shortest-path (er+sbm+path) - val/f1","5l64-mpnn-shortest-path (er+sbm+path) - val/f1__MIN","5l64-mpnn-shortest-path (er+sbm+path) - val/f1__MAX","4l4h32-gps-shortest-path (er+sbm+path) - train/f1","4l4h32-gps-shortest-path (er+sbm+path) - train/f1__MIN","4l4h32-gps-shortest-path (er+sbm+path) - train/f1__MAX","4l4h32-gps-shortest-path (er+sbm+path) - val/f1","4l4h32-gps-shortest-path (er+sbm+path) - val/f1__MIN","4l4h32-gps-shortest-path (er+sbm+path) - val/f1__MAX","2l4h16-ibtt-shortest-path (path) - train/f1","2l4h16-ibtt-shortest-path (path) - train/f1__MIN","2l4h16-ibtt-shortest-path (path) - train/f1__MAX","2l4h16-ibtt-shortest-path (path) - val/f1","2l4h16-ibtt-shortest-path (path) - val/f1__MIN","2l4h16-ibtt-shortest-path (path) - val/f1__MAX"
"31","0.06983283827723033","0.06983283827723033","0.06983283827723033","0.07620702526209129","0.07620702526209129","0.07620702526209129","0.32568866063222407","0.32568866063222407","0.32568866063222407","0.4232792434042015","0.4232792434042015","0.4232792434042015","0.3054550451740918","0.3054550451740918","0.3054550451740918","0.4749765066933498","0.4749765066933498","0.4749765066933498","0.3372024859502078","0.3372024859502078","0.3372024859502078","0.2683915838673205","0.2683915838673205","0.2683915838673205"
"32","0.07673920600541784","0.07673920600541784","0.07673920600541784","0.06338302213512563","0.06338302213512563","0.06338302213512563","0.33055783721380644","0.33055783721380644","0.33055783721380644","0.4391106896776222","0.4391106896776222","0.4391106896776222","0.3134816021464073","0.3134816021464073","0.3134816021464073","0.46320063987617366","0.46320063987617366","0.46320063987617366","0.3649117429685091","0.3649117429685091","0.3649117429685091","0.27532325252801315","0.27532325252801315","0.27532325252801315"
"33","0.06647302496773995","0.06647302496773995","0.06647302496773995","0.0944345284365869","0.0944345284365869","0.0944345284365869","0.3089314241773015","0.3089314241773015","0.3089314241773015","0.46651676223965083","0.46651676223965083","0.46651676223965083","0.3101032954574967","0.3101032954574967","0.3101032954574967","0.4677025360769018","0.4677025360769018","0.4677025360769018","0.35268354620591336","0.35268354620591336","0.35268354620591336","0.2868626197038613","0.2868626197038613","0.2868626197038613"
"34","0.10925940394692629","0.10925940394692629","0.10925940394692629","0.09310546888377691","0.09310546888377691","0.09310546888377691","0.32654825148786415","0.32654825148786415","0.32654825148786415","0.47925805103572977","0.47925805103572977","0.47925805103572977","0.30804476809693776","0.30804476809693776","0.30804476809693776","0.4647229871960774","0.4647229871960774","0.4647229871960774","0.361873168084274","0.361873168084274","0.361873168084274","0.27206039473853727","0.27206039473853727","0.27206039473853727"
"35","0.10577092948960629","0.10577092948960629","0.10577092948960629","0.09598272519692025","0.09598272519692025","0.09598272519692025","0.32256051264753977","0.32256051264753977","0.32256051264753977","0.47375813020706","0.47375813020706","0.47375813020706","0.3244956998849458","0.3244956998849458","0.3244956998849458","0.4704388660617873","0.4704388660617873","0.4704388660617873","0.355069815359877","0.355069815359877","0.355069815359877","0.2731263576833348","0.2731263576833348","0.2731263576833348"
"36","0.09332897177928692","0.09332897177928692","0.09332897177928692","0.0860567152203219","0.0860567152203219","0.0860567152203219","0.3237212954000948","0.3237212954000948","0.3237212954000948","0.4641579095831163","0.4641579095831163","0.4641579095831163","0.3370660615465105","0.3370660615465105","0.3370660615465105","0.470140962301656","0.470140962301656","0.470140962301656","0.38741804048192563","0.38741804048192563","0.38741804048192563","0.3060907808935924","0.3060907808935924","0.3060907808935924"
"37","0.10193357628696062","0.10193357628696062","0.10193357628696062","0.10614575667043012","0.10614575667043012","0.10614575667043012","0.3269167143219596","0.3269167143219596","0.3269167143219596","0.483517941534424","0.483517941534424","0.483517941534424","0.32120780369389496","0.32120780369389496","0.32120780369389496","0.45470149160042866","0.45470149160042866","0.45470149160042866","0.3969873512334426","0.3969873512334426","0.3969873512334426","0.276549230858937","0.276549230858937","0.276549230858937"
"38","0.12362591869544866","0.12362591869544866","0.12362591869544866","0.08676246248061227","0.08676246248061227","0.08676246248061227","0.3342256137334986","0.3342256137334986","0.3342256137334986","0.4659396546398041","0.4659396546398041","0.4659396546398041","0.32537161125571507","0.32537161125571507","0.32537161125571507","0.4763713684435271","0.4763713684435271","0.4763713684435271","0.3755271126724046","0.3755271126724046","0.3755271126724046","0.29520710111081916","0.29520710111081916","0.29520710111081916"
"39","0.12638926768856049","0.12638926768856049","0.12638926768856049","0.11916922505053615","0.11916922505053615","0.11916922505053615","0.33895136334432197","0.33895136334432197","0.33895136334432197","0.459441215476675","0.459441215476675","0.459441215476675","0.3551432508748067","0.3551432508748067","0.3551432508748067","0.4704344668138616","0.4704344668138616","0.4704344668138616","0.3772504732985066","0.3772504732985066","0.3772504732985066","0.2982256159903728","0.2982256159903728","0.2982256159903728"
"40","0.11673384770854622","0.11673384770854622","0.11673384770854622","0.14640791662908095","0.14640791662908095","0.14640791662908095","0.33734721486547176","0.33734721486547176","0.33734721486547176","0.46721451453144275","0.46721451453144275","0.46721451453144275","0.34620421368000187","0.34620421368000187","0.34620421368000187","0.4775777323017428","0.4775777323017428","0.4775777323017428","0.3970569910616978","0.3970569910616978","0.3970569910616978","0.3155985128423563","0.3155985128423563","0.3155985128423563"
