"Step","5l64-mpnn-shortest-path (path) - train/acc","5l64-mpnn-shortest-path (path) - train/acc__MIN","5l64-mpnn-shortest-path (path) - train/acc__MAX","5l64-mpnn-shortest-path (path) - val/acc","5l64-mpnn-shortest-path (path) - val/acc__MIN","5l64-mpnn-shortest-path (path) - val/acc__MAX","5l64-mpnn-shortest-path (er+sbm+path) - train/acc","5l64-mpnn-shortest-path (er+sbm+path) - train/acc__MIN","5l64-mpnn-shortest-path (er+sbm+path) - train/acc__MAX","5l64-mpnn-shortest-path (er+sbm+path) - val/acc","5l64-mpnn-shortest-path (er+sbm+path) - val/acc__MIN","5l64-mpnn-shortest-path (er+sbm+path) - val/acc__MAX"
"87","0.7361778846153846","0.7361778846153846","0.7361778846153846","0.7051532451923077","0.7051532451923077","0.7051532451923077","0.8184070121951219","0.8184070121951219","0.8184070121951219","0.7953475560897436","0.7953475560897436","0.7953475560897436"
"88","0.7406850961538461","0.7406850961538461","0.7406850961538461","0.7131911057692308","0.7131911057692308","0.7131911057692308","0.8125476371951219","0.8125476371951219","0.8125476371951219","0.7979517227564102","0.7979517227564102","0.7979517227564102"
"89","0.7434645432692308","0.7434645432692308","0.7434645432692308","0.7141676682692308","0.7141676682692308","0.7141676682692308","0.8169858358739838","0.8169858358739838","0.8169858358739838","0.8002303685897436","0.8002303685897436","0.8002303685897436"
"90","0.7394831730769231","0.7394831730769231","0.7394831730769231","0.7122145432692308","0.7122145432692308","0.7122145432692308","0.8249174288617885","0.8249174288617885","0.8249174288617885","0.7989533253205128","0.7989533253205128","0.7989533253205128"
"91","0.7342247596153846","0.7342247596153846","0.7342247596153846","0.7180739182692308","0.7180739182692308","0.7180739182692308","0.8195026676829268","0.8195026676829268","0.8195026676829268","0.8002303685897436","0.8002303685897436","0.8002303685897436"
"92","0.7442157451923077","0.7442157451923077","0.7442157451923077","0.7056039663461539","0.7056039663461539","0.7056039663461539","0.8138497205284553","0.8138497205284553","0.8138497205284553","0.7999048477564102","0.7999048477564102","0.7999048477564102"
"93","0.7439903846153846","0.7439903846153846","0.7439903846153846","0.7139423076923077","0.7139423076923077","0.7139423076923077","0.8167794080284553","0.8167794080284553","0.8167794080284553","0.8022085336538461","0.8022085336538461","0.8022085336538461"
"94","0.7469951923076923","0.7469951923076923","0.7469951923076923","0.7131911057692308","0.7131911057692308","0.7131911057692308","0.8084825965447154","0.8084825965447154","0.8084825965447154","0.7894881810897436","0.7894881810897436","0.7894881810897436"
"95","0.7415114182692308","0.7415114182692308","0.7415114182692308","0.7129657451923077","0.7129657451923077","0.7129657451923077","0.8173113567073171","0.8173113567073171","0.8173113567073171","0.7969751602564102","0.7969751602564102","0.7969751602564102"
"96","0.7390324519230769","0.7390324519230769","0.7390324519230769","0.7041766826923077","0.7041766826923077","0.7041766826923077","0.8166603150406505","0.8166603150406505","0.8166603150406505","0.7973006810897436","0.7973006810897436","0.7973006810897436"
"97","0.7426382211538461","0.7426382211538461","0.7426382211538461","0.7180739182692308","0.7180739182692308","0.7180739182692308","0.8231707317073171","0.8231707317073171","0.8231707317073171","0.8044871794871794","0.8044871794871794","0.8044871794871794"
"98","0.7474459134615384","0.7474459134615384","0.7474459134615384","0.7053786057692308","0.7053786057692308","0.7053786057692308","0.8225990853658537","0.8225990853658537","0.8225990853658537","0.7979517227564102","0.7979517227564102","0.7979517227564102"
"99","0.7451171875","0.7451171875","0.7451171875","0.7151442307692308","0.7151442307692308","0.7151442307692308","0.8222735645325203","0.8222735645325203","0.8222735645325203","0.7973006810897436","0.7973006810897436","0.7973006810897436"
"100","0.7438401442307692","0.7438401442307692","0.7438401442307692","0.7161207932692308","0.7161207932692308","0.7161207932692308","0.8171049288617885","0.8171049288617885","0.8171049288617885","0.8005809294871794","0.8005809294871794","0.8005809294871794"
"101","0.7473707932692308","0.7473707932692308","0.7473707932692308","0.7161207932692308","0.7161207932692308","0.7161207932692308","0.8178830030487805","0.8178830030487805","0.8178830030487805","0.8070913461538461","0.8070913461538461","0.8070913461538461"
"102","0.7507512019230769","0.7507512019230769","0.7507512019230769","0.7210036057692308","0.7210036057692308","0.7210036057692308","0.8160489710365854","0.8160489710365854","0.8160489710365854","0.8051131810897436","0.8051131810897436","0.8051131810897436"
"103","0.7530799278846154","0.7530799278846154","0.7530799278846154","0.7231820913461539","0.7231820913461539","0.7231820913461539","0.8210508765243901","0.8210508765243901","0.8210508765243901","0.8028345352564102","0.8028345352564102","0.8028345352564102"
